Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000165494	PCF11	ENSG00000165494_PCF11	1302	627	773	1026
ENSG00000165495	PKNOX2	ENSG00000165495_PKNOX2	2	1	3	6
ENSG00000165496	RPL10L	ENSG00000165496_RPL10L	0	0	0	0
ENSG00000165501	LRR1	ENSG00000165501_LRR1	878	363	424	428
ENSG00000165502	RPL36AL	ENSG00000165502_RPL36AL	4269	2840	2984	3343
ENSG00000165506	DNAAF2	ENSG00000165506_DNAAF2	766	435	372	537
ENSG00000165507	DEPP1	ENSG00000165507_DEPP1	501	1282	260	1325
ENSG00000165509	MAGEC3	ENSG00000165509_MAGEC3	1	1	1	0
ENSG00000165511	C10orf25	ENSG00000165511_C10orf25	16	6	2	5
ENSG00000165512	ZNF22	ENSG00000165512_ZNF22	533	299	301	377
ENSG00000165516	KLHDC2	ENSG00000165516_KLHDC2	995	643	666	759
ENSG00000165521	AL121768.1	ENSG00000165521_AL121768.1	35	8	3	7
ENSG00000165525	NEMF	ENSG00000165525_NEMF	1670	744	817	917
ENSG00000165526	RPUSD4	ENSG00000165526_RPUSD4	1053	559	584	794
ENSG00000165527	ARF6	ENSG00000165527_ARF6	4818	2789	3012	3818
ENSG00000165533	TTC8	ENSG00000165533_TTC8	682	618	416	623
ENSG00000165548	TMEM63C	ENSG00000165548_TMEM63C	321	390	211	431
ENSG00000165553	NGB	ENSG00000165553_NGB	5	3	0	10
ENSG00000165555	NOXRED1	ENSG00000165555_NOXRED1	4	2	2	3
ENSG00000165556	CDX2	ENSG00000165556_CDX2	11	15	8	59
ENSG00000165566	AMER2	ENSG00000165566_AMER2	0	0	0	0
ENSG00000165568	AKR1E2	ENSG00000165568_AKR1E2	0	1	0	0
ENSG00000165572	KBTBD6	ENSG00000165572_KBTBD6	610	293	272	350
ENSG00000165583	SSX5	ENSG00000165583_SSX5	0	0	0	0
ENSG00000165584	SSX3	ENSG00000165584_SSX3	0	0	0	0
ENSG00000165588	OTX2	ENSG00000165588_OTX2	0	0	0	0
ENSG00000165591	FAAH2	ENSG00000165591_FAAH2	71	70	47	57
ENSG00000165606	DRGX	ENSG00000165606_DRGX	0	0	0	0
ENSG00000165609	NUDT5	ENSG00000165609_NUDT5	3999	2582	2312	2766
ENSG00000165617	DACT1	ENSG00000165617_DACT1	16	30	3	39
ENSG00000165621	OXGR1	ENSG00000165621_OXGR1	8	8	9	14
ENSG00000165623	UCMA	ENSG00000165623_UCMA	0	0	0	0
ENSG00000165626	BEND7	ENSG00000165626_BEND7	412	350	218	406
ENSG00000165629	ATP5F1C	ENSG00000165629_ATP5F1C	6646	4761	4159	5980
ENSG00000165630	PRPF18	ENSG00000165630_PRPF18	106	92	72	86
ENSG00000165632	TAF3	ENSG00000165632_TAF3	449	259	281	385
ENSG00000165633	VSTM4	ENSG00000165633_VSTM4	0	0	0	0
ENSG00000165637	VDAC2	ENSG00000165637_VDAC2	4092	3127	2906	4321
ENSG00000165643	SOHLH1	ENSG00000165643_SOHLH1	0	0	0	0
ENSG00000165644	COMTD1	ENSG00000165644_COMTD1	272	231	170	113
ENSG00000165646	SLC18A2	ENSG00000165646_SLC18A2	0	0	0	0
ENSG00000165650	PDZD8	ENSG00000165650_PDZD8	1703	1123	923	1337
ENSG00000165655	ZNF503	ENSG00000165655_ZNF503	449	457	296	448
ENSG00000165660	ABRAXAS2	ENSG00000165660_ABRAXAS2	877	583	490	747
ENSG00000165661	QSOX2	ENSG00000165661_QSOX2	1343	655	911	1308
ENSG00000165669	FAM204A	ENSG00000165669_FAM204A	1067	602	646	669
ENSG00000165671	NSD1	ENSG00000165671_NSD1	3824	2086	1868	2858
ENSG00000165672	PRDX3	ENSG00000165672_PRDX3	5683	3197	3161	3937
ENSG00000165675	ENOX2	ENSG00000165675_ENOX2	718	268	323	339
ENSG00000165678	GHITM	ENSG00000165678_GHITM	7467	6127	5343	7461
ENSG00000165682	CLEC1B	ENSG00000165682_CLEC1B	0	2	0	0
ENSG00000165684	SNAPC4	ENSG00000165684_SNAPC4	812	439	493	402
ENSG00000165685	TMEM52B	ENSG00000165685_TMEM52B	5	31	1	10
ENSG00000165688	PMPCA	ENSG00000165688_PMPCA	2818	1621	1707	2246
ENSG00000165689	ENTR1	ENSG00000165689_ENTR1	1152	719	772	1269
ENSG00000165694	FRMD7	ENSG00000165694_FRMD7	0	0	0	0
ENSG00000165695	AK8	ENSG00000165695_AK8	3	9	2	13
ENSG00000165698	SPACA9	ENSG00000165698_SPACA9	37	63	24	69
ENSG00000165699	TSC1	ENSG00000165699_TSC1	589	388	376	529
ENSG00000165702	GFI1B	ENSG00000165702_GFI1B	1	0	0	1
ENSG00000165704	HPRT1	ENSG00000165704_HPRT1	1928	542	811	721
ENSG00000165714	BORCS5	ENSG00000165714_BORCS5	216	175	153	189
ENSG00000165716	DIPK1B	ENSG00000165716_DIPK1B	152	724	179	354
ENSG00000165724	ZMYND19	ENSG00000165724_ZMYND19	2011	1292	1268	1467
ENSG00000165730	STOX1	ENSG00000165730_STOX1	36	6	14	11
ENSG00000165731	RET	ENSG00000165731_RET	161	134	117	235
ENSG00000165732	DDX21	ENSG00000165732_DDX21	10522	3626	5371	6409
ENSG00000165733	BMS1	ENSG00000165733_BMS1	5360	2646	3105	4429
ENSG00000165752	STK32C	ENSG00000165752_STK32C	375	550	274	640
ENSG00000165757	JCAD	ENSG00000165757_JCAD	99	96	49	112
ENSG00000165762	OR4K2	ENSG00000165762_OR4K2	0	0	0	0
ENSG00000165775	FUNDC2	ENSG00000165775_FUNDC2	1122	716	650	1044
ENSG00000165782	PIP4P1	ENSG00000165782_PIP4P1	1144	902	646	1292
ENSG00000165792	METTL17	ENSG00000165792_METTL17	2943	1801	2003	2238
ENSG00000165794	SLC39A2	ENSG00000165794_SLC39A2	7	24	4	14
ENSG00000165795	NDRG2	ENSG00000165795_NDRG2	366	474	191	464
ENSG00000165799	RNASE7	ENSG00000165799_RNASE7	200	129	209	415
ENSG00000165801	ARHGEF40	ENSG00000165801_ARHGEF40	1025	989	559	894
ENSG00000165802	NSMF	ENSG00000165802_NSMF	2650	3031	1969	3070
ENSG00000165804	ZNF219	ENSG00000165804_ZNF219	742	812	527	600
ENSG00000165805	C12orf50	ENSG00000165805_C12orf50	0	0	0	0
ENSG00000165806	CASP7	ENSG00000165806_CASP7	722	455	377	545
ENSG00000165807	PPP1R36	ENSG00000165807_PPP1R36	7	3	4	3
ENSG00000165810	BTNL9	ENSG00000165810_BTNL9	33	9	22	20
ENSG00000165813	CCDC186	ENSG00000165813_CCDC186	555	373	242	507
ENSG00000165816	VWA2	ENSG00000165816_VWA2	11	9	2	14
ENSG00000165819	METTL3	ENSG00000165819_METTL3	2607	890	1218	1249
ENSG00000165821	SALL2	ENSG00000165821_SALL2	294	461	161	478
ENSG00000165828	PRAP1	ENSG00000165828_PRAP1	0	0	0	0
ENSG00000165832	TRUB1	ENSG00000165832_TRUB1	801	413	316	550
ENSG00000165837	ERICH6B	ENSG00000165837_ERICH6B	0	0	0	0
ENSG00000165841	CYP2C19	ENSG00000165841_CYP2C19	0	0	0	0
ENSG00000165861	ZFYVE1	ENSG00000165861_ZFYVE1	433	773	322	980
ENSG00000165863	C10orf82	ENSG00000165863_C10orf82	8	32	14	50
ENSG00000165868	HSPA12A	ENSG00000165868_HSPA12A	624	564	401	669
ENSG00000165874	SHLD2P1	ENSG00000165874_SHLD2P1	36	19	15	13
ENSG00000165879	FRAT1	ENSG00000165879_FRAT1	93	120	58	133
ENSG00000165886	UBTD1	ENSG00000165886_UBTD1	516	685	415	733
ENSG00000165887	ANKRD2	ENSG00000165887_ANKRD2	44	72	10	22
ENSG00000165891	E2F7	ENSG00000165891_E2F7	1004	291	688	555
