"Geneid","GeneName","NewName","X9_SC1","X10_Ssh1","X11_SC2","X12_Ssh2"
"ENSG00000107020","PLGRKT","ENSG00000107020_PLGRKT",27.3846030212888,20.422717126601,23.9672413705183,21.9182280959238
"ENSG00000107021","TBC1D13","ENSG00000107021_TBC1D13",31.9725993389916,42.300615571805,33.202845019205,38.8746525874555
"ENSG00000107036","RIC1","ENSG00000107036_RIC1",43.6218087394089,31.4118450153617,31.1630797961821,37.4508306835864
"ENSG00000107077","KDM4C","ENSG00000107077_KDM4C",17.2766736338497,17.6127118217124,15.4115594628392,18.6822692234941
"ENSG00000107099","DOCK8","ENSG00000107099_DOCK8",0.394280933552587,0.250893330793624,0.45328116067174,0.431461182990627
"ENSG00000107104","KANK1","ENSG00000107104_KANK1",25.6641044021502,29.4046983690127,25.1004442721976,23.6009267095873
"ENSG00000107105","ELAVL2","ENSG00000107105_ELAVL2",4.87474608755926,2.50893330793624,0.793242031175545,1.46696802216813
"ENSG00000107130","NCS1","ENSG00000107130_NCS1",43.657652460641,40.3938262577734,39.6054414136933,45.5191548055111
"ENSG00000107140","TESK1","ENSG00000107140_TESK1",34.266597497843,53.6409941236768,37.4523559005025,42.1969036964833
"ENSG00000107147","KCNT1","ENSG00000107147_KCNT1",0.0358437212320534,0,0,0
"ENSG00000107159","CA9","ENSG00000107159_CA9",4.37293399031051,2.05732531250771,2.66302681894647,2.93393604433626
"ENSG00000107164","FUBP3","ENSG00000107164_FUBP3",62.7265121560934,47.4690181861536,57.8500081307308,60.3182733820896
"ENSG00000107165","TYRP1","ENSG00000107165_TYRP1",0,0,0,0
"ENSG00000107175","CREB3","ENSG00000107175_CREB3",42.1522161688948,49.1750928355503,43.1183704088993,44.3973557297355
"ENSG00000107185","RGP1","ENSG00000107185_RGP1",63.9451986779832,78.8808632015153,66.349029893326,98.459441958461
"ENSG00000107186","MPDZ","ENSG00000107186_MPDZ",18.0293917797228,21.2255757851406,18.7545080227932,19.976652772466
"ENSG00000107187","LHX3","ENSG00000107187_LHX3",0,0,0.0566601450839675,0.302022828093439
"ENSG00000107201","DDX58","ENSG00000107201_DDX58",18.9971722529883,30.7595223552983,20.4543123753123,66.0135609975659
"ENSG00000107223","EDF1","ENSG00000107223_EDF1",172.838423780961,111.195924207734,193.891016477337,80.6832412192472
"ENSG00000107242","PIP5K1B","ENSG00000107242_PIP5K1B",0.0358437212320534,0,0.0566601450839675,0
"ENSG00000107249","GLIS3","ENSG00000107249_GLIS3",0.5376558184808,0.95339465701577,0.45328116067174,0.776630129383128
"ENSG00000107262","BAG1","ENSG00000107262_BAG1",56.6330795466443,56.701892759359,51.4474117362425,50.1789355818099
"ENSG00000107263","RAPGEF1","ENSG00000107263_RAPGEF1",38.7829063730817,43.203831562662,31.333060231434,57.4274834560524
"ENSG00000107281","NPDC1","ENSG00000107281_NPDC1",31.8650681752954,33.5695276601869,34.84598922664,21.4004746763351
"ENSG00000107282","APBA1","ENSG00000107282_APBA1",2.688279092404,1.60571731707919,1.35984348201522,1.33752966727094
"ENSG00000107290","SETX","ENSG00000107290_SETX",52.3318329987979,42.1500795733288,64.9891864113107,68.0845746759209
"ENSG00000107295","SH3GL2","ENSG00000107295_SH3GL2",0,0,0,0
"ENSG00000107317","PTGDS","ENSG00000107317_PTGDS",0,0.10035733231745,0,0
"ENSG00000107331","ABCA2","ENSG00000107331_ABCA2",53.729738126848,74.6156765780237,46.4046588237694,65.9272687609677
"ENSG00000107338","SHB","ENSG00000107338_SHB",13.0471145284674,17.0607464939664,11.2187087266256,16.0072098889522
"ENSG00000107341","UBE2R2","ENSG00000107341_UBE2R2",112.76434699604,126.801489383097,115.983316986881,137.679263492309
"ENSG00000107362","ABHD17B","ENSG00000107362_ABHD17B",11.6133656791853,11.0894852210782,10.9354080012057,14.7991185765785
"ENSG00000107371","EXOSC3","ENSG00000107371_EXOSC3",40.6826235983806,29.7057703659651,34.5060283561362,33.5245339183717
"ENSG00000107372","ZFAND5","ENSG00000107372_ZFAND5",103.409135754474,108.084846905893,98.1353712854317,120.205085581189
"ENSG00000107404","DVL1","ENSG00000107404_DVL1",116.097813070621,111.095566875417,128.448548905354,83.5308850269853
"ENSG00000107438","PDLIM1","ENSG00000107438_PDLIM1",122.047870795142,216.571123141056,132.868040221904,148.638377540271
"ENSG00000107443","CCNJ","ENSG00000107443_CCNJ",17.1332987489215,15.5553865092047,15.9781609136788,21.0984518482416
"ENSG00000107447","DNTT","ENSG00000107447_DNTT",0,0,0,0
"ENSG00000107485","GATA3","ENSG00000107485_GATA3",7.49133773749915,10.035733231745,8.55568190767909,9.57843826239191
"ENSG00000107518","ATRNL1","ENSG00000107518_ATRNL1",0.0358437212320534,0.250893330793624,0,0.345168946392501
"ENSG00000107521","HPS1","ENSG00000107521_HPS1",33.7289416793622,47.7199115169472,31.7863413921058,47.547022365567
"ENSG00000107537","PHYH","ENSG00000107537_PHYH",19.1763908591485,46.6159808614553,17.9612659916177,40.6867895560161
"ENSG00000107551","RASSF4","ENSG00000107551_RASSF4",3.01087258349248,12.4944878735225,3.90955001079376,8.97439260620503
"ENSG00000107554","DNMBP","ENSG00000107554_DNMBP",25.7716355658464,17.3618184909188,30.7664587805944,24.5501413121667
"ENSG00000107560","RAB11FIP2","ENSG00000107560_RAB11FIP2",15.1260503599265,8.88162391009428,9.68888480935844,11.1748446394572
"ENSG00000107562","CXCL12","ENSG00000107562_CXCL12",0,0,0,0
"ENSG00000107566","ERLIN1","ENSG00000107566_ERLIN1",120.183997291075,64.9813726755486,92.2427161966991,97.078766172891
"ENSG00000107581","EIF3A","ENSG00000107581_EIF3A",517.296584820994,373.279097554753,472.148988984701,403.416206096236
